ID,paper,location,species,temperature,d18_O_w,d18_O,d18_O_sd,d18_O_w_sd,class,functional_group,composition
19,Marchitto et al (2014),OC205-2-144JPC,Hoeglundina elegans,8.1,0.36,2.82,0.08,0.07,foraminifera,benthos,Aragonite
20,Marchitto et al (2014),OC205-2-148GGC,Hoeglundina elegans,15.9,0.92,1.6,0.08,0.07,foraminifera,benthos,Aragonite
21,Marchitto et al (2014),OC205-2-149JPC,Hoeglundina elegans,16.1,0.94,1.35,0.08,0.07,foraminifera,benthos,Aragonite
22,Marchitto et al (2014),W120A-05G,Hoeglundina elegans,15.6,0.9,1.64,0.08,0.07,foraminifera,benthos,Aragonite
23,Marchitto et al (2014),W120A-06G,Hoeglundina elegans,16.3,0.95,1.49,0.08,0.07,foraminifera,benthos,Aragonite
24,Marchitto et al (2014),W120A-08G,Hoeglundina elegans,16.8,1,1.42,0.08,0.07,foraminifera,benthos,Aragonite
25,Marchitto et al (2014),W120A-09G,Hoeglundina elegans,16.9,1.01,1.51,0.08,0.07,foraminifera,benthos,Aragonite
26,Marchitto et al (2014),W120A-10G,Hoeglundina elegans,17,1.02,1.51,0.08,0.07,foraminifera,benthos,Aragonite
27,Marchitto et al (2014),W120A-11G,Hoeglundina elegans,17.1,1.02,1.41,0.08,0.07,foraminifera,benthos,Aragonite
28,Marchitto et al (2014),W120A-12G,Hoeglundina elegans,17.2,1.03,1.26,0.08,0.07,foraminifera,benthos,Aragonite
29,Marchitto et al (2014),W120A-14G,Hoeglundina elegans,17.7,1.07,1.36,0.08,0.07,foraminifera,benthos,Aragonite
30,Marchitto et al (2014),W120A-15G,Hoeglundina elegans,17.7,1.08,1.46,0.08,0.07,foraminifera,benthos,Aragonite
31,Marchitto et al (2014),W120A-16G,Hoeglundina elegans,17.9,1.09,1.3,0.08,0.07,foraminifera,benthos,Aragonite
32,Marchitto et al (2014),W120A-17G,Hoeglundina elegans,18.2,1.12,1.3,0.08,0.07,foraminifera,benthos,Aragonite
33,Marchitto et al (2014),W120A-18G,Hoeglundina elegans,18.6,1.14,1.28,0.08,0.07,foraminifera,benthos,Aragonite
34,Marchitto et al (2014),W120A-19G,Hoeglundina elegans,18.6,1.14,1.39,0.08,0.07,foraminifera,benthos,Aragonite
35,Marchitto et al (2014),W120A-20G,Hoeglundina elegans,20.5,1.24,1.02,0.08,0.07,foraminifera,benthos,Aragonite
36,Marchitto et al (2014),W120A-21G,Hoeglundina elegans,20.8,1.25,0.9,0.08,0.07,foraminifera,benthos,Aragonite
37,Marchitto et al (2014),W120A-23G,Hoeglundina elegans,21.8,1.25,0.76,0.08,0.07,foraminifera,benthos,Aragonite
38,Marchitto et al (2014),W120A-24G,Hoeglundina elegans,23.2,1.25,0.62,0.08,0.07,foraminifera,benthos,Aragonite
39,Marchitto et al (2014),W120A-27G,Hoeglundina elegans,25.6,1.12,-0.71,0.08,0.07,foraminifera,benthos,Aragonite
1,bouvier (1985),10-5,Orbulina universa,20,0.62,-0.91,0.22,0.14,foraminifera,mixoplankton,Calcite
2,bouvier (1985),10-7,Orbulina universa,22.6,0.48,-1.29,0.22,0.14,foraminifera,mixoplankton,Calcite
3,bouvier (1985),10-7,Globorotalia menardii,22.6,0.48,-1.63,0.22,0.14,foraminifera,mixoplankton,Calcite
4,bouvier (1985),10-8,Orbulina universa,23,0.48,-1.66,0.22,0.14,foraminifera,mixoplankton,Calcite
5,bouvier (1985),10-8,Globorotalia menardii,23,0.48,-1.44,0.22,0.14,foraminifera,mixoplankton,Calcite
6,bouvier (1985),10-9,Orbulina universa,24.2,0.36,-1.99,0.22,0.14,foraminifera,mixoplankton,Calcite
7,bouvier (1985),10-9,Neogloboquadrina dutertrei,24.2,0.36,-1.96,0.22,0.14,foraminifera,mixoplankton,Calcite
8,bouvier (1985),10-9,Globorotalia menardii,24.2,0.36,-2.04,0.22,0.14,foraminifera,mixoplankton,Calcite
9,bouvier (1985),10-10,Neogloboquadrina dutertrei,25.6,0.33,-2.3,0.22,0.14,foraminifera,mixoplankton,Calcite
10,bouvier (1985),10-11,Orbulina universa,26.6,0.33,-2.44,0.22,0.14,foraminifera,mixoplankton,Calcite
11,bouvier (1985),10-11,Globorotalia menardii,26.6,0.33,-2.56,0.22,0.14,foraminifera,mixoplankton,Calcite
12,bouvier (1985),10-12,Orbulina universa,27,0.29,-2.68,0.22,0.14,foraminifera,mixoplankton,Calcite
13,bouvier (1985),13-2,Globorotalia menardii,27.4,0.36,-2.56,0.22,0.14,foraminifera,mixoplankton,Calcite
14,bouvier (1985),13-7,Orbulina universa,27.6,0.1,-2.49,0.22,0.14,foraminifera,mixoplankton,Calcite
15,bouvier (1985),13-4,Globorotalia menardii,27.7,0.26,-2.95,0.22,0.14,foraminifera,mixoplankton,Calcite
16,bouvier (1985),13-13,Neogloboquadrina dutertrei,27.7,0.25,-2.98,0.22,0.14,foraminifera,mixoplankton,Calcite
17,bouvier (1985),10-20,Neogloboquadrina dutertrei,28.3,0.5,-2.82,0.22,0.14,foraminifera,mixoplankton,Calcite
18,bouvier (1985),10-26,Globorotalia menardii,28.3,0.48,-2.6,0.22,0.14,foraminifera,mixoplankton,Calcite
19,bouvier (1985),10-16,Neogloboquadrina dutertrei,28.6,0.32,-2.73,0.22,0.14,foraminifera,mixoplankton,Calcite
20,bouvier (1985),10-15,Globorotalia menardii,28.7,0.38,-2.65,0.22,0.14,foraminifera,mixoplankton,Calcite
21,bouvier (1985),10-17,Orbulina universa,28.8,0.38,-2.44,0.22,0.14,foraminifera,mixoplankton,Calcite
22,bouvier (1985),10-28,Orbulina universa,28.8,0.54,-2.83,0.22,0.14,foraminifera,mixoplankton,Calcite
23,bouvier (1985),13-71,Neogloboquadrina dutertrei,28.8,0.62,-2.8,0.22,0.14,foraminifera,mixoplankton,Calcite
24,bouvier (1985),10-31,Neogloboquadrina dutertrei,29,0.77,-2.9,0.22,0.14,foraminifera,mixoplankton,Calcite
25,bouvier (1985),13-23,Orbulina universa,29.5,0.3,-2.97,0.22,0.14,foraminifera,mixoplankton,Calcite
26,bouvier (1985),13-23,Neogloboquadrina dutertrei,29.5,0.3,-2.67,0.22,0.14,foraminifera,mixoplankton,Calcite
27,bouvier (1985),13-67,Neogloboquadrina dutertrei,29.8,0.77,-3.02,0.22,0.14,foraminifera,mixoplankton,Calcite
28,bouvier (1985),10-10,Orbulina universa,25.6,0.33,-2.209718416853760,0.22,0.14,foraminifera,mixoplankton,Calcite
29,bouvier (1985),10-10,Orbulina universa,25.6,0.33,-2.160137123043110,0.22,0.14,foraminifera,mixoplankton,Calcite
30,bouvier (1985),10-10,Globorotalia menardii,25.6,0.33,-2.2499488703495100,0.22,0.14,foraminifera,mixoplankton,Calcite
31,bouvier (1985),10-10,Globorotalia menardii,25.6,0.33,-2.2413352382018700,0.22,0.14,foraminifera,mixoplankton,Calcite
32,bouvier (1985),10-11,Neogloboquadrina dutertrei,26.6,0.33,-2.382827397608120,0.22,0.14,foraminifera,mixoplankton,Calcite
33,bouvier (1985),10-11,Neogloboquadrina dutertrei,26.6,0.33,-2.3951899758797100,0.22,0.14,foraminifera,mixoplankton,Calcite
34,bouvier (1985),10-11,Neogloboquadrina dutertrei,26.6,0.33,-2.392021426108080,0.22,0.14,foraminifera,mixoplankton,Calcite
35,bouvier (1985),10-11,Neogloboquadrina dutertrei,26.6,0.33,-2.4573882102170800,0.22,0.14,foraminifera,mixoplankton,Calcite
36,bouvier (1985),10-19,Neogloboquadrina dutertrei,27.3,0.42,-2.4799193140558600,0.22,0.14,foraminifera,mixoplankton,Calcite
37,bouvier (1985),10-19,Neogloboquadrina dutertrei,27.3,0.42,-2.325559001425560,0.22,0.14,foraminifera,mixoplankton,Calcite
38,bouvier (1985),10-19,Globorotalia menardii,27.3,0.42,-2.4709324366329500,0.22,0.14,foraminifera,mixoplankton,Calcite
39,bouvier (1985),10-19,Globorotalia menardii,27.3,0.42,-2.4087311937404600,0.22,0.14,foraminifera,mixoplankton,Calcite
40,bouvier (1985),10-19,Globorotalia menardii,27.3,0.42,-2.2443879416042900,0.22,0.14,foraminifera,mixoplankton,Calcite
41,bouvier (1985),10-19,Globorotalia menardii,27.3,0.42,-2.3816584925087600,0.22,0.14,foraminifera,mixoplankton,Calcite
42,bouvier (1985),13-13,Globorotalia menardii,27.7,0.25,-2.6127270519075400,0.22,0.14,foraminifera,mixoplankton,Calcite
43,bouvier (1985),13-13,Globorotalia menardii,27.7,0.25,-2.593512434723630,0.22,0.14,foraminifera,mixoplankton,Calcite
44,bouvier (1985),10-20,Globorotalia menardii,28.3,0.5,-2.327809569129050,0.22,0.14,foraminifera,mixoplankton,Calcite
45,bouvier (1985),10-20,Globorotalia menardii,28.3,0.5,-2.258934991480770,0.22,0.14,foraminifera,mixoplankton,Calcite
46,bouvier (1985),10-26,Neogloboquadrina dutertrei,28.3,0.48,-2.38188502923209,0.22,0.14,foraminifera,mixoplankton,Calcite
47,bouvier (1985),10-26,Neogloboquadrina dutertrei,28.3,0.48,-2.299023901160700,0.22,0.14,foraminifera,mixoplankton,Calcite
48,bouvier (1985),10-16,Globorotalia menardii,28.6,0.32,-2.788922674157950,0.22,0.14,foraminifera,mixoplankton,Calcite
49,bouvier (1985),10-16,Globorotalia menardii,28.6,0.32,-2.4546560672513500,0.22,0.14,foraminifera,mixoplankton,Calcite
50,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.7982975495735700,0.22,0.14,foraminifera,mixoplankton,Calcite
51,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.742356519899990,0.22,0.14,foraminifera,mixoplankton,Calcite
52,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.719206186866450,0.22,0.14,foraminifera,mixoplankton,Calcite
53,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.653995975570330,0.22,0.14,foraminifera,mixoplankton,Calcite
54,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.7792180344244000,0.22,0.14,foraminifera,mixoplankton,Calcite
55,bouvier (1985),10-17,Neogloboquadrina dutertrei,28.8,0.38,-2.805196482368820,0.22,0.14,foraminifera,mixoplankton,Calcite
56,bouvier (1985),10-17,Globorotalia menardii,28.8,0.38,-2.973285025464170,0.22,0.14,foraminifera,mixoplankton,Calcite
57,bouvier (1985),10-17,Globorotalia menardii,28.8,0.38,-3.158358868440650,0.22,0.14,foraminifera,mixoplankton,Calcite
58,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.51100307225465,0.22,0.14,foraminifera,mixoplankton,Calcite
59,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.5307499339482600,0.22,0.14,foraminifera,mixoplankton,Calcite
60,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.497555989149000,0.22,0.14,foraminifera,mixoplankton,Calcite
61,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.5074561406409600,0.22,0.14,foraminifera,mixoplankton,Calcite
62,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.5448175246606700,0.22,0.14,foraminifera,mixoplankton,Calcite
63,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.5214642467312100,0.22,0.14,foraminifera,mixoplankton,Calcite
64,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.491761004340460,0.22,0.14,foraminifera,mixoplankton,Calcite
65,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.4853126995222900,0.22,0.14,foraminifera,mixoplankton,Calcite
66,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.496775292678620,0.22,0.14,foraminifera,mixoplankton,Calcite
67,bouvier (1985),10-28,Neogloboquadrina dutertrei,28.8,0.54,-2.5272210453450300,0.22,0.14,foraminifera,mixoplankton,Calcite
68,bouvier (1985),10-28,Globorotalia menardii,28.8,0.54,-2.8313215705806600,0.22,0.14,foraminifera,mixoplankton,Calcite
69,bouvier (1985),10-28,Globorotalia menardii,28.8,0.54,-2.797168436459400,0.22,0.14,foraminifera,mixoplankton,Calcite
70,bouvier (1985),10-28,Globorotalia menardii,28.8,0.54,-2.810179374441500,0.22,0.14,foraminifera,mixoplankton,Calcite
71,bouvier (1985),10-28,Globorotalia menardii,28.8,0.54,-2.746072174341440,0.22,0.14,foraminifera,mixoplankton,Calcite
72,bouvier (1985),10-28,Globorotalia menardii,28.8,0.54,-2.7569020079605400,0.22,0.14,foraminifera,mixoplankton,Calcite
73,bouvier (1985),10-29,Neogloboquadrina dutertrei,29,0.66,-2.963575559653200,0.22,0.14,foraminifera,mixoplankton,Calcite
74,bouvier (1985),10-29,Neogloboquadrina dutertrei,29,0.66,-2.9575533700702400,0.22,0.14,foraminifera,mixoplankton,Calcite
75,bouvier (1985),10-29,Neogloboquadrina dutertrei,29,0.66,-2.9605949686370300,0.22,0.14,foraminifera,mixoplankton,Calcite
76,bouvier (1985),10-31,Globorotalia menardii,29,0.77,-3.09427026363839,0.22,0.14,foraminifera,mixoplankton,Calcite
77,bouvier (1985),10-31,Globorotalia menardii,29,0.77,-2.956849288351840,0.22,0.14,foraminifera,mixoplankton,Calcite
78,bouvier (1985),10-31,Globorotalia menardii,29,0.77,-3.0376468209509700,0.22,0.14,foraminifera,mixoplankton,Calcite
79,bouvier (1985),10-31,Globorotalia menardii,29,0.77,-3.03420447897608,0.22,0.14,foraminifera,mixoplankton,Calcite
80,bouvier (1985),10-31,Globorotalia menardii,29,0.77,-2.9998824890439700,0.22,0.14,foraminifera,mixoplankton,Calcite
81,bouvier (1985),13-66,Neogloboquadrina dutertrei,30.4,0.77,-2.9356038422385000,0.22,0.14,foraminifera,mixoplankton,Calcite
82,bouvier (1985),13-66,Neogloboquadrina dutertrei,30.4,0.77,-2.850487720492410,0.22,0.14,foraminifera,mixoplankton,Calcite
